ds,y,label
2021-03-17,1437283.0,now
2021-03-18,1443853.0,now
2021-03-19,1450132.0,now
2021-03-20,1455788.0,now
2021-03-21,1460184.0,now
2021-03-22,1465928.0,now
2021-03-23,1471225.0,now
2021-03-24,1476452.0,now
2021-03-25,1482559.0,now
2021-03-26,1487541.0,now
2021-03-27,1492002.0,now
2021-03-28,1496085.0,now
2021-03-29,1501093.0,now
2021-03-30,1505775.0,now
2021-03-31,1511712.0,now
2021-04-01,1517854.0,now
2021-04-02,1523179.0,now
2021-04-03,1527524.0,now
2021-04-04,1534255.0,now
2021-04-05,1537967.0,now
2021-04-06,1542516.0,now
2021-04-07,1547376.0,now
2021-04-08,1552880.0,now
2021-04-09,1558145.0,now
2021-04-10,1562868.0,now
2021-04-11,1566995.0,now
2021-04-12,1571824.0,now
2021-04-13,1577526.0,now
2021-04-14,1583182.0,now
2021-04-15,1589359.0,now
2021-04-16,1594722.0,now
2021-04-17,1599763.0,now
2021-04-18,1604348.0,now
2021-04-19,1609300.0,now
2021-04-20,1614849.0,now
2021-04-21,1620569.0,now
2021-04-22,1626812.0,now
2021-04-23,1632248.0,now
2021-04-24,1636792.0,now
2021-04-25,1641194.0,now
2021-04-26,1647138.0,now
2021-04-27,1651794.0,now
2021-04-28,1657035.0,now
2021-04-29,1662868.0,now
2021-04-30,1668368.0,now
2021-05-01,1672880.0,now
2021-05-02,1677274.0,now
2021-05-03,1682004.0,now
2021-05-04,1686373.0,now
2021-05-05,1691658.0,now
2021-05-06,1697305.0,now
2021-05-07,1703632.0,now
2021-05-08,1709762.0,now
2021-05-09,1713684.0,now
2021-05-10,1718575.0,now
2021-05-11,1723596.0,now
2021-05-12,1728204.0,now
2021-05-13,1731652.0,now
2021-05-14,1734285.0,now
2021-05-15,1736670.0,now
2021-05-16,1739750.0,now
2021-05-17,1744045.0,now
2021-05-18,1748230.0,now
2021-05-19,1753101.0,now
2021-05-20,1758898.0,now
2021-05-21,1764644.0,now
2021-05-22,1769940.0,now
2021-05-23,1775220.0,now
2021-05-24,1781127.0,now
2021-05-25,1786187.0,now
2021-05-26,1791221.0,now
2021-05-27,1797499.0,now
2021-05-28,1803361.0,now
2021-05-29,1809926.0,now
2021-05-30,1816041.0,now
2021-05-31,1821703.0,now
2021-06-01,1826527.0,now
2021-06-02,1831773.0,now
2021-06-03,1837126.0,now
2021-06-04,1843612.0,now
2021-06-05,1850206.0,now
2021-06-06,1856038.0,now
2021-06-07,1863031.0,now
2021-06-08,1869325.0,now
2021-06-09,1877050.0,now
2021-06-10,1885942.0,now
2021-06-11,1894025.0,now
2021-06-12,1901490.0,now
2021-06-13,1911358.0,now
2021-06-14,1919547.0,now
2021-06-15,1927708.0,now
2021-06-16,1937652.0,now
2021-06-17,1950276.0,now
2021-06-18,1963266.0,now
2021-06-19,1976172.0,now
2021-06-20,1989909.0,now
2021-06-21,2004445.0,now
